title,price,rating,total_reviews,product_description,reviews,reviews_rating,Shoe Type
Amazon Brand - Symbol Men's Synthetic Formal Shoes,₹380.00,3.3 out of 5 stars,17 ratings,Our wide variety of formal casual and athletic footwear is made keeping you in mind. Available in a plethora of colours shapes and materials Symbol shoes have been crafted with the single-minded objective of comfort style and longevity. All of this at a price you simple can’t say no to.,Point-wise review (Not a mark of quality)|| All show no go.|| Good.,2.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars,Men
SneakersVilla Synthetic Leather Casual Dancing Sneakers Shoes for Men's and Boys,₹299.00,3.5 out of 5 stars,8 ratings,Material : You'll love this Lace-up Casual Shoes It features a Synthetic upper style for Easy fit TPR Sole soft lining cushiony memory foam insole for comfort and support and a non-marking outsole. Manmade materials. Feature : Extremely comfortable material  It is nice affordable shoes for everyday use or wedding .This unique design and stylish shoes is to maximize your fashion at the fairest price possible.,Waste of money|| Ok,1.0 out of 5 stars|| 3.0 out of 5 stars,Men
Puma Men's Epic Toss V1 Idp Flip-Flop,₹230.00,4.1 out of 5 stars,113 ratings,Crafted with fine technology and futuristic design PUMA shoe is surely here to uplift your style and track games. Kick off on street and field in this shoe from the world’s leading and much loved sports brand PUMA.,Good buy|| Good Product. Value for Money 👍|| Cheap quality|| Good Choice|| Average|| Excellent|| Mhagama rod line|| Good|| Stylish & comfortable|| good for inside use,5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars,Men
Unistar Walking Shoes; ST-02-TanBrown,₹371.00,3.6 out of 5 stars,604 ratings,High Quality Training/Running Shoes Specially Desined For Army Jawans And Officers. Manufactured On Italian Rotary Machine With Superior Quality Of Raw Material. The Shoes Are Designed To Withstand The Rigorous Training And Practice.,Not met expectation.|| Review on undrar shoes.|| Avg|| Colour changed|| Nice|| Don't buy|| ONE AMONG THE BEST IN BUDGET SHOES😁😁|| Comfortable.|| Not comfortable.|| Lovely products,1.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars,Men
Robbie jones Men Casual Sneakers Shoes,₹499.00,3.3 out of 5 stars,43 ratings,Robbie Jones Shoes Are Designed To Keeping In Mind Durability As Well As Trends The Most Stylish Range Of Shoes. They Are Exclusively Designed To Match The Latest Trends Of The New Generation. This Pair Of Shoes Is Sure To Make You Look Smart & Classy. These Will Go With Most Of Your Casual Outfits. This Product Is Made Of Premium Quality And Highly Material. Wearing This Prime Quality Amazing And Cozy Shoe With The Combination Of Jean And T-Shirt. It Presents Standard Look To Your Personality. We Are Always Providing Latest Fashion Shoes For Men's Casual Shoes For Men.,Don't buy this|| Mismatch pair|| Quality is poor🤮🤮|| Worth it I would say|| Review|| Not same products shown as in images|| Osm shoes|| Best quality,3.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars,Men
CRKAS Men's Walking Shoes,₹299.00,3.1 out of 5 stars,188 ratings,Elevate your style with this classy pair of Walking Shoe from the house of CRKAS brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,Broken laces and loose stitches|| Hopping for long lasting wid this shoes.|| Not so good|| Shoe quality is OK for this price ask for one size small of your actual show size.|| Worst quality  I want to return it|| Very nice shoes|| Very very good product|| Colour|| Just too good|| Average product,1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men
Inklenzo Men's Casual Shoes in Hip Hop White Color Walking Running Gymwear Sports,₹459.00,3.5 out of 5 stars,229 ratings,It has a vast collection of casual shoes for men. You can explore our range of casual daily lifestyle shoes. Take your pick from an array of sports shoes in vibrant colours like Black and white sole. Designed for top performance these shoes match the way you play or run. Available in materials like canvas mesh these are lightweight comfort sturdy and extremely sporty. The sole of all shoes is designed to provide an increased amount of comfort and the material is good enough to provide an improved fit. These are easy to maintain and last for a really long time given to their durability. The body is designed with colorful soft material describing to improve the overall look of the shoes.,good product|| Ossam product|| Awesome|| Its actually good|| Nice product|| Everything is good|| It's look nice|| Nice|| Ok product|| Review,3.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars,Men
Kraasa Men's Sports Shoes,₹499.00,3.4 out of 5 stars,888 ratings,Elevate your style with this classy pair of Sports Shoes from the house of Kraasa brand. Featuring a Contemporary refined design with exceptional comfort this pair is perfect to give your Quintessential dressing an Upgrade.,Very good|| Very bad product|| Bad choice for summer|| Quality superworst|| Average|| Great product fit & price|| wrost shoes|| Okay|| One Star|| Very bad,5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars,Men
White Walkers Multicolored Running Lightweight Shoes for Men's & Boys,₹469.00,2.6 out of 5 stars,4 ratings,WHITE WALKERS Grip sport is back and packed with even more style and comfort. The grip fusion sport updates the ultra-comfortable grip fusion with a new mesh upper for increased breathability and comfort. Built on the anatomically shaped grip comfort last with more volume for your foot the heather mesh forefoot and sporty upper sits on top a new fusionfoam midsole comprised mixture of super soft eva foam and ultra-responsive rubber that provides a cushioned feel and all-day comfort.,Good product to buy,4.0 out of 5 stars,Men
AADI Men's Running Shoe,₹399.00,3.6 out of 5 stars,182 ratings,Elevate your style with this classy pair of Running Shoe from the house of AADI brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,Value of money|| Don’t waste your time on this product|| Good product for very cheap rate|| Very Por itam please dont buy Vest of money i hate this Shoes|| Good Product|| Great buy|| Awesome|| Running shoes|| Cheap stylish shoes|| wish better quality,5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars,Men
Shoefly Men's Black Cricket Shoes,₹263.00,2.9 out of 5 stars,55 ratings,Elevate your style with this classy pair of Cricket Shoe from the house of Shoefly brand. Featuring a Contemporary refined design with exceptional comfort this pair is perfect to give your Quintessential dressing an Upgrade.,Rubbish product|| This shoes is worst quality shoes ever wearnew shoes will get tear and bursted|| Cheap quality different from picture|| Quality|| Waste of money|| Shoes|| A perfect pair of shoes|| Poor thing|| best price|| No package📦📦📦 box,1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars,Men
Bourge Men's Loire-z147 Running Shoes,₹498.00,4.0 out of 5 stars,305 ratings,Bourge is the leading manufacturer of sports shoes school shoes Casual Shoes sliders sandals and slippers both for men’s & women’s. Bourge offers performance and sport-inspired lifestyle products in categories such as running Training and Fitness. Using high technology and design innovation Bourge continually creates what is aspired and not just what is necessary. All Bourge products are meant to deliver high performance durability and great comfort.,Disappointed|| It is outstanding|| Value for Money|| Good for Jog.|| Very bad that 2 different sizes received|| Good Quality Looks Premium|| For minimal usage|| Just ok ok product. Not too good not to bad.|| Go for it without any doubts|| Great deal don't miss...,2.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars,Men
Aqualite Men's Eam00012g Formal Shoes,₹209.00,3.3 out of 5 stars,8 ratings,Update your footwear collection with something stylish in the form of these sneaker from the house of Aqualite.,A decent rainy footwear|| need to describe its a plastic material in description,4.0 out of 5 stars|| 1.0 out of 5 stars,Men
FLITE Men's Fl0710g Juttis,₹199.00,3.9 out of 5 stars,498 ratings,Embossing on fabricated looking jalsa style shoe to give new looks. Line etching on socks for better comfort. Geometrical designed grooving on out-sole for firm grip.,Best product|| Amazed on|| Mediocre product- Dont be fooled by the looks|| Perfect🤎|| Value for Money|| Nice Product at low Price|| Awesome Product|| Looks Good|| Ok|| perfect,5.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars,Men
WORLD WEAR FOOTWEAR Men's Multicolor (9069-1200) Casual Sports Running Shoes,₹405.00,3.0 out of 5 stars,943 ratings, World Wear Footwear men's canvas casual wear Sports/Shoes they are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort. These shoes are designed to keeping in mind durability as well as trends the most stylish range of shoes. This pair of casual shoes from World Wear Footwear is designed especially for the fashion forward men. ,Nice product|| Poor quality|| Not a valuable buy|| Perfect stylish wear|| बहुत बढिया|| Really waste of money|| Not Good|| Worst product|| Review|| 100/49 marks,5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars,Men
Maddy Running ShoesTraining ShoesGym ShoesSports ShoesWalking Shoes for Men,₹449.00,3.7 out of 5 stars,294 ratings,Flaunt with these stylish and unique navy blue sports shoes as per the latest fashion trend from the house of Maddy Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having a premiumum modern style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look. The simple and minimal design combining with comfort and falling in line with your demand for the latest in fashion Maddy presents an amazing range of footwear for men who want to look perfect for every occasion.This range is suave fashionable and comfortable. Stylish and classy are the words that define this collection perfectly. Each style reflects the passion for footwear and deep understanding of materials and design.,Cheapest Quality Shoe in that price range|| very very good product in low price|| Look like Cool one....|| Good|| Not good shoes. Not satisfied.|| Cheapest cost|| Occasionally|| Nice product|| Satisfaction|| Ok,1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars,Men
Sklodge Men's Air Wonder Series Mesh Sports Casual Shoes Sneakers Shoes for Men & Boys WalkingRunning/Gymwear Shoes for Daily Use,₹389.00,3.2 out of 5 stars,677 ratings,Sklodge has a vast collection of casual shoes for men. You can explore our range of casual shoes daily shoes or lifestyle shoes.Take your pick from an array of sports shoes in vibrant colours like and white sole. Designed for top performance these shoes match the way you play or run. Available in materials like canvas mesh etc these shoes are lightweight comfortable sturdy and extremely sporty. The sole of all Sklodge shoes is designed to provide an increased amount of comfort and the material is good enough to provide an improved fit. These shoes are easy to maintain and last for a really long time given to their durability. The body of shoes is designed with colorful soft material describing to improve the overall look of the shoes. shoes for men very low price air mesh shoe man casual dance exercise training latest design sports running sneakers gym wear daily use party stylish executive expensive quality fashion mens under walking boys treadmill sport boy cricket badminton partywear jogging gents jogger outdoor footwear.,Prefer not to buy.👎👎|| Not received same product as shown in picture|| Product style different from the product picture|| Very poor work Amazon company and their workers...|| Average|| good|| Different designed show came up|| Really good|| Worst shoes ever I buyed in my life|| Not so good,1.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars,Men
WORLD WEAR FOOTWEAR Men Multicolour Latest Collection Sports Running Shoes-Pack of 2 (Combo-(2)-9158-9208),₹371.00,3.2 out of 5 stars,165 ratings, World Wear Footwear Men's canvas casual wear Sports/Shoes they are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort. These shoes are designed to keeping in mind durability as well as trends the most stylish range of shoes. This pair of casual shoes from World Wear Footwear is designed especially for the fashion forward men. ,It's to good|| Little Narrow|| Not suitable for roads|| Quality kharab hain.exchange karneke badd|| Cheap product|| Good|| 👎👎not good|| Too small|| ..|| Not satisfied,5.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars,Men
WORLD WEAR FOOTWEAR Men Multicolour Latest Collection Sports Running Shoes - Pack of 2 (Combo-(2)-9069-9063),₹408.00,3.1 out of 5 stars,135 ratings, World Wear Footwear men's canvas casual wear Sports/Shoes they are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort. These shoes are designed to keeping in mind durability as well as trends the most stylish range of shoes. This pair of casual shoes from World Wear Footwear is designed especially for the fashion forward men. ,don't buy|| Average|| satisfied product|| Shoes Review|| Good to buy in low price|| Not as per size chart and photo.|| To large|| different colour|| Worst|| Nice,1.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men
Amico Men's Sneaker Shoes,₹349.00,3.2 out of 5 stars,1011 ratings,Amico shoes are designed to keeping in mind durability as well as trends the most stylish range of shoes & sandals. They are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort.,Save your money from frauds!|| Awesome colour shoes|| Good not better|| Neither Worst Nor the Best..|| poor quality|| Waste of money|| Poor quality please return my cash|| Poor quality|| Nice shoes|| Value of money.,1.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men
WORLD WEAR FOOTWEAR Men's Running Shoes (Set of 2 Pairs),₹464.00,3.3 out of 5 stars,102 ratings,Elevate your style with this classy pair of Running Shoe from the house of WORLD WEAR FOOTWEAR brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,In this price segment shoes are best|| Shoues product Nyc but shoues tali broken|| Not as I expected ☹️|| Fit comfertable lightweight|| Best|| Good|| Good product velu of money|| Difet|| Please check carefully|| i don't have anymore Interest,5.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars,Men
CLYMB Men's Running Shoe,₹299.00,3.8 out of 5 stars,352 ratings,PRODUCT SPECIFICATIONS:  Designed as per the latest trend this pair will catch every style-conscious everybody attention. The comfortable upper lining and sole of these Lite___Running Shoes will keep your feet super happy whenever you slip these on! This is an excellent pair of Shoes or casuals with the best quality at the best price. ABOUT CLYMB______CLYMB is an Indian-inspired brand where unapologetic style meets fitness.This brand continues to be daring.No matter how amazing your outfit is___Never underestimate the importance of shoes they can totally make or break a look it's true. The CLYMB presents transformation represent the fashion___Style as well as fitness that occurs when individuals embrace the challenge of bettering themselves. As fitness and style can change your body soul and___How you feel about yourself. The brand CLYMB defines sports as something bigger than sports like fashion and fitness. ,The shoe is pretty light and fits well|| Comfortable shoes|| Nice product|| Needs improvement!|| Exchange reviews|| At this value Good product|| Buy better one|| Poor product quality.|| Not so comfortable but ok at this price.|| good fit,5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars,Men
Maddy Stylish Blue Rubber Clogs For Men's,₹499.00,3.7 out of 5 stars,547 ratings,Elevate Your Style With This Comfortable Pair Of Clog From The House Of Maddy Brand. Featuring A Contemporary Refined Design With Exceptional Comfort This Pair Is Perfect To Give Your Quintessential Dressing An Upgrade.,Good buy|| Better for purchase|| Very good quality shoes.|| Good shoes for rain season if you are worried to ruin your sneakers|| Poor packing and poor quality|| True to its size|| Not what I expected !|| Light on pocket heavy on super looks|| Durability is really poor|| Reschedule Return pick-up immediately.,5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars,Men
Tynor Cast Shoe - Medium (37-39),₹494.00,3.8 out of 5 stars,128 ratings,Tynor Cast Shoe ( Rocker sole) replaces the functions of the normal shoe when patient is on foot cast. Prevents excessive wear & tear of the cast and reduces impact on the injured leg. It ensures high degree of hygiene and improves gait of the patient on foot cast. The design ensures easy wearing and removal.,Defective pieces doesn't completely match the website pic or what customers have put|| Wrong supply & use of product.|| Every thing about this is fine except that it slips a lot|| Must have for cast|| Must Have Cast Shoe|| think twice before buying this.|| Good product|| Got single sleeper|| Nice product|| Not Returnable,3.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars,Men
STRANGER BROTHERS Fashionable White Sneakers Shoes for Men,₹449.00,2.7 out of 5 stars,16 ratings,"""STRANGER BROTHERS"" Shoes Are Designed To Keeping In Mind Durability As Well As Trends The Most Stylish Range Of Shoes. They Are Exclusively Designed To Match The Latest Trends Of The New Generation. This Pair Of Shoes Is Sure To Make You Look Smart & Classy. These Will Go With Most Of Your Casual Outfits. This Product Is Made Of Premium Quality And Highly Material. Wearing This Prime Quality Amazing And Cozy Shoe With The Combination Of Jeans And T-Shirt. It Presents Standard Look To Your Personality. We Are Always Providing Latest Fashion Shoes For Men's Casual Shoes For Men.",Very comfortable|| Don’t buy this product very bad|| Fully bakwas|| Poor sole material|| waste of money due to this shoes better option is available in market|| Just usable|| Do not buy,5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men
Amazon Brand - Symbol Men's PU Sneakers,₹475.00,3.8 out of 5 stars,278 ratings,Our wide variety of casual footwear is made keeping you in mind. Available in a plethora of colours shapes and materials symbol shoes have been crafted with the single-minded objective of comfort style and longevity. All of this at a price you simple can’t say no to.,Awesome go for it|| Shoe-10/10 Packaging-10/10 Delivery-5/10 (Late delivery)|| Good one|| Not so valuable for the Money that I Paid.|| Nice shoes just as imagined|| Best in price|| Value for money|| Good product|| But|| Chrr chrr noise while walking,5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars,Men
FLITE Men's Fl0705g Loafers,₹229.00,3.7 out of 5 stars,730 ratings,New traingular chain pattern embossed on outsole to give good trip.,Good enough|| Superb go for it.. thanks to Amazon|| comfortable and good|| Good product|| Awesome shoe for monsoon at a more awesome price!!!|| Good for daily wear|| Material is rubber|| PRICE WORTHY AND NICE PRODUCT|| Good....go small size than original size|| The sole got torn,4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars,Men
Luxury Fashionable Casua Sneaker Shoes,₹387.00,3.8 out of 5 stars,22 ratings,Lightweight & Breathable: Exclusive design and durable materials every step feels light and breezy. Breathable free-moving fabrics which adjust according to your foot and creates an astoundingly easy-going experience. Non Slip & Shockproof: Great engineering strikes a balance in style made in the potent design and latest fashion trends. Made for long-term wear with extra emphasis on providing cushion to the feet removing heel strain. Comfort Sole & Flexible Walk : The outsoles are made by an air cushion doubling the effect of shock absorption. Besides these shoes perform excellent in durability and are also slip resistant. It provides push cushioning comfort for foot pain relief and helps relieve pressure while conforming to your every step.,Supbb quality,5.0 out of 5 stars,Men
Centrino Men's 9383 Formal Shoes,₹449.00,3.9 out of 5 stars,3151 ratings,Centrino is a value footwear brand for men. Our range consists of basic and updated basic products across both formal and casual footwear. We offer the right blend of quality style and value aimed to delight our customers.,after 6 month bad..|| Worth for 500 bucks|| Decent design & perfect finish|| If you are watching this product then I assure you to buy it without a second thought|| Was of Decent quality but didn't last even for year|| Please don't buy  save urself|| Worst ever quality. Don't buy by seeing color|| Good product for this price range.|| Initial Impression is good but Not Durable|| One Star,2.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men
Sparx Men's Navy Blue Loafers-6 (SD0402G),₹375.00,3.9 out of 5 stars,40 ratings,Flaunt with these stylish and unique navy blue casual shoes as per the latest fashion trend from the house of Sparx. Super comfortable casual shoes with Denim as upper material and PVC as sole material.,Second time purchased..|| Value for money|| Nice product.|| Comfort|| Comfortable product|| Good|| OK|| Nice shoes|| Satisfied,5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men
BATA Men's Speed with Lace Sneaker,₹400.00,5.0 out of 5 stars,2 ratings,Very trendy and comfortable shoes,Comfortable fit|| Light weight comfortable and good quality,5.0 out of 5 stars|| 5.0 out of 5 stars,Men
Sparx Men's Running Shoes,₹888.00,4.1 out of 5 stars,4846 ratings,Flaunt with these stylish and unique sports shoes as per the latest fashion trend from the house of Sparx. Super comfortable sports shoes with Mesh as upper material and EVA as sole material.,Fake product|| Good quality|| RUN RUN RUN!!!!|| Awosome|| Product review|| Just after 4 days of use..its laces hole got wide while tightening.Not recommended|| As Expected|| Trendy and bright|| Do look out for size.. else look wise awesome !! Need to test for durability though..|| Perfect for running and very stylish,1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men
D Shoes Sports Running Shoes for Men's,₹649.00,4.1 out of 5 stars,12 ratings,Very stylish and comfortable Outdoor Fashion Casual Sports Running Shoes for men______Perfect for Running walking Gym wear Dailywear Outdoor Fashion Casual and Evening Outing Purpose______D Shoes Walking Shoes are made up of high quality breathable mesh stays strong and durable - meaning the shoes will last much longer______Soft Cushioned Insole and high Quality EVA Phylon Sole ensures cushioning to the feet removing heel strain______These Men's Ultralight Sports shoes are the perfect choice for all those who do not like to compromise on what they wear,It should be same as shown in the image after size matters|| Best product shoes|| Recieved different colour than to what i ordered.|| Awesome|| Worth every penny nd looks good|| Stylish shoes|| Attractive shoes 😍|| Very unique,5.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars,Men
ASIAN Men's Wonder-13 Sports Running Shoes,₹499.00,4.0 out of 5 stars,42193 ratings,Lightweight & Breathable :___Exclusive design and durable materials every step feels light and breezy. Breathable free-moving fabrics which adjust according to your foot and creates an astoundingly easy-going experience.______Non Slip & Shockproof :___Great engineering strikes a balance in style made in the potent design and latest fashion trends. Made for long-term wear with extra emphasis on providing cushion to the feet removing heel strain.______Comfort Sole & Flexible Walk :___The outsoles are made by an air cushion doubling the effect of shock absorption. Besides these shoes perform excellent in durability and are also slip resistant. It provides push cushioning comfort for foot pain relief and helps relieve pressure while conforming to your every step,Review after 1.5 years of heavy usage!|| MRP 399 only selling price 599 big fraud.|| Looks is Awesome... good looking in fesonable price|| The shoe is pretty light and fits well|| Not a running shoe|| You must not buy it|| Value for money !!|| Nice product i m so happy ...materials is so good|| Honest Review after 2 months of use|| I Love the product! But not a happy customer for only one reason.,5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars,Men
Sparx Men's Running Shoes,₹608.00,4.1 out of 5 stars,1135 ratings,Sparx is a spectacular range of footwear from the house of Relaxo Footwears Ltd. a name trusted among millions of people in India and across the world for delivering unmatched quality. Since its inception the company has established a benchmark for bringing the finest range of footwears.,Satisfied with product..!|| orignal product 👍|| Product is as shown on site and quality is good. But...|| Good shoe with lot of manufacturing flaws|| Colour is not as it is|| Comfort|| Ordered it twice and got the wrong color|| Good for two or three months!|| Not worth.|| Good looking and comfortable,5.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars,Men
